Station ID,Station Name,Bot_elev_m,Bank_left_elev_m,Bank_right_elev_m,Left_width_m,Right_width_m
115269.0,Cross Section New River 122.0,7.5133197595737675,10.975847648772875,10.198607673644554,6.309359798100431,10.454639665451586
114956.0,Cross Section New River 121.0 (SURV CCX22),7.4005437631826,10.863071652381707,10.085831677253388,6.309359798100431,8.321039733726783
114356.0,Cross Section New River 120.0,7.2115677692298314,10.67409565842894,9.896855683300618,6.309359798100431,8.290559734702033
113856.0,Cross Section New River 119.0,7.056119774204167,10.518647663403275,9.741407688274954,6.309359798100431,8.290559734702033
113353.0,Cross Section New River 118.0,6.897623779276039,9.183623706124042,9.29030370271028,5.394959827361507,6.7970397824945055
112842.0,Cross Section New River 117.0,6.736079784445447,9.02207971129345,9.12875970787969,5.394959827361507,7.101839772740906
112493.0,Cross Section New River 116.0 (SURV CCX21),6.626351787956742,8.912351714804744,9.019031711390985,5.394959827361507,4.9682398410161035
111852.0,Cross Section New River 115.0,6.550151790395142,8.836151717243144,8.470391728947465,5.394959827361507,12.344399604979213
111329.0,Cross Section New River 114.0,6.489191792345863,8.775191719193865,8.881871715780106,5.394959827361507,4.9682398410161035
110835.0,Cross Section New River 113.0,6.431279794199047,8.409431730898184,8.113775740359177,9.814559685934311,11.277599639116811
110324.0,Cross Section New River 112.0,6.37336779605223,9.570719693736969,8.970263712951562,5.242559832238308,9.75359968788481
109999.0,Cross Section New River 111.0 (SURV CCX20),6.333743797320198,9.531095695004938,8.930639714219529,5.242559832238308,6.705599785420807
109312.0,Cross Section New River 110.0,6.108191804537862,9.305543702222602,8.705087721437193,5.242559832238308,6.705599785420807
108813.0,Cross Section New River 109.0,5.943599809804806,8.449055729630217,8.104631740651785,2.834639909291578,6.248399800051207
108318.0,Cross Section New River 108.0,5.7790078150717505,8.28446373489716,7.940039745918728,2.834639909291578,6.248399800051207
107557.5,Upstream Section of Bridge/Culvert/Weir,5.714999817120006,8.930639714219529,7.876031747966984,8.83919971714561,6.248399800051207
107510.5,Downstream Section of Bridge/Culvert/Weir,5.696711817705222,8.912351714804744,7.857743748552201,8.83919971714561,6.248399800051207
107313.0,Cross Section New River 106.0,5.654039819070726,8.159495738896137,7.8150717499177045,2.834639909291578,6.248399800051207
106815.0,Cross Section New River 105.0,5.541263822679557,8.046719742504967,7.702295753526536,2.834639909291578,6.248399800051207
106318.0,Cross Section New River 104.0,5.431535826190854,8.40638373099572,8.54963972641153,11.24711964009206,4.968239841016381
105818.0,Cross Section New River 103.0,5.321807829702149,8.296655734507016,8.439911729922825,9.72311968886006,6.492239792248382
105277.0,Cross Section New River 102.0 (SURV CCX18),5.199887833603589,8.174735738408456,8.317991733824265,9.72311968886006,3.444239889784379
104797.0,Cross Section New River 101.0,5.181599834188805,6.632447787761671,6.775703783177479,9.72311968886006,6.492239792248382
104294.0,Cross Section New River 100.0,5.166359834676485,8.141207739481352,8.28446373489716,9.72311968886006,8.016239743480384
103791.0,Cross Section New River 99.0,5.148071835261701,6.961631777227783,7.67486375440436,6.492239792248382,9.936479682032761
103283.0,Cross Section New River 98.0,5.129783835846917,6.943343777812999,6.742175784250375,6.492239792248382,6.888479779568758
102854.0,Cross Section New River 97.0 (SURV CCX19),5.114543836334597,6.928103778300679,7.641335755477256,6.492239792248382,6.888479779568758
102280.0,Cross Section New River 96.0,5.023103839260678,6.8366637812267586,6.330695797417734,6.492239792248382,6.888479779568758
101285.0,Cross Section New River 94.0,4.864607844332549,5.74852781604711,6.041135806683655,2.346959924897227,9.875519683983537
100804.0,Cross Section New River 93.0,4.788407846770949,6.281927798978311,5.964935809122054,5.39495982736123,9.875519683983537
100066.0,Upstream Section of Bridge/Culvert/Weir,4.6725838504773165,6.294119798588166,6.1935358018068545,5.09015983711483,13.533119566940341
100014.0,Downstream Section of Bridge/Culvert/Weir,4.660391850867461,6.281927798978311,6.181343802196999,5.09015983711483,13.533119566940341
99683.0,Cross Section New River 91.6,4.578095853500932,5.407151826971141,5.699759817607686,5.303519830287532,6.918959778593232
99280.0,Cross Section New River 91.3,4.474463856817157,5.913119810780166,5.596127820923909,5.303519830287532,6.918959778593232
98358.0,Cross Section New River 90.5,4.239767864327429,6.659879786883847,6.839711781129224,8.808719718120859,6.827519781519256
97380.0,Cross Section New River 89.5 (SURV CCX17),3.992879872227844,6.412991794784262,6.592823789029638,8.808719718120859,6.827519781519256
96282.0,Cross Section New River 88.0,3.840479877104644,5.495543824142598,4.946903841699077,9.60119969276161,4.724399848819205
95281.0,Cross Section New River 86.0,3.7002718815913,5.355335828629253,5.721095816924934,9.60119969276161,4.724399848819205
94392.0,Cross Section New River 84.0 (SURV CCX16),3.5753038855902757,5.23036783262823,5.596127820923909,9.60119969276161,4.724399848819205
93362.0,Cross Section New River 82.5,3.2430718962216996,4.898135843259653,5.263895831555334,9.60119969276161,4.724399848819205
92284.0,Cross Section New River 81.0,2.8925519074383392,3.889247875544068,3.992879872227844,1.432559954158026,10.820399653747211
91772.0,Cross Section New River 80.0,2.7279599127052827,3.724655880811012,3.828287877494788,1.432559954158026,10.820399653747211
91498.0,Upstream Section of Bridge/Culvert/Weir,2.639567915533827,4.550663854378756,4.8066958461857325,1.432559954158026,12.039599614732813
91364.0,Downstream Section of Bridge/Culvert/Weir,2.6791919142658585,4.590287853110789,4.846319844917765,1.432559954158026,12.039599614732813
90966.0,Cross Section New River 79.0,2.618231916216579,5.154167835066629,5.050535838382853,4.846319844917931,8.260079735677282
